Zodis                         Kiekis    
----------------------------------------
vilniaus                      148       
ir                            98        
m                             76        
yra                           37        
lietuvos                      35        
miesto                        34        
tiltas                        32        
v                             32        
vilnius                       24        
nuo                           19        
muziejus                      16        
centras                       15        
su                            15        
europos                       14        
buvo                          13        
verslo                        12        
vilni                         12        
mokykla                       11        
vilniuje                      11        
a                             10        
augustas                      10        
by                            10        
o                             10        
prie                          10        
vart                          10        
kaip                          9         
pat                           9         
vilnia                        9         
i                             8         
lietuvoje                     8         
mieste                        8         
taip                          8         
tapo                          8         
universitetas                 8         
vardo                         8         
d                             7         
forma                         7         
marijos                       7         
miest                         7         
miestas                       7         
mokyklos                      7         
mokymo                        7         
neries                        7         
of                            7         
parkas                        7         
per                           7         
apie                          6         
bei                           6         
dalis                         6         
gedimino                      6         
kalno                         6         
motinos                       6         
onos                          6         
pagal                         6         
paveldo                       6         
respublikos                   6         
tilt                          6         
vienas                        6         
vingio                        6         
baltijos                      5         
biblioteka                    5         
bvp                           5         
gyventoj                      5         
jono                          5         
kiti                          5         
kovo                          5         
kt                            5         
paminklas                     5         
parko                         5         
ref                           5         
rusijos                       5         
savivaldyb                    5         
sostin                        5         
tik                           5         
universiteto                  5         
arena                         4         
auga                          4         
autobus                       4         
dar                           4         
daugiau                       4         
didysis                       4         
dievo                         4         
dvasios                       4         
eur                           4         
gallery                       4         
gatv                          4         
gyventojai                    4         
gyventojui                    4         
iki                           4         
j                             4         
kalboje                       4         
kaln                          4         
katedros                      4         
kazimiero                     4         
kur                           4         
kuri                          4         
namai                         4         
ne                            4         
panorama                      4         
pasaulio                      4         
ryt                           4         
senamiestis                   4         
senoji                        4         
stadionas                     4         
up                            4         
vardas                        4         
veikia                        4         
verki                         4         
vienam                        4         
vilnis                        4         
yd                            4         
arkikatedra                   3         
atodanga                      3         
be                            3         
bet                           3         
but                           3         
centru                        3         
cerkv                         3         
erdv                          3         
gailestingumo                 3         
galerija                      3         
group                         3         
gyvenamieji                   3         
ia                            3         
intakas                       3         
io                            3         
istorija                      3         
jo                            3         
jos                           3         
kad                           3         
karo                          3         
kart                          3         
katedra                       3         
kitas                         3         
kitos                         3         
km                            3         
konstantinas                  3         
kurios                        3         
lazdyn                        3         
lietuva                       3         
met                           3         
mikalojaus                    3         
mikalojus                     3         
nacionalin                    3         
nam                           3         
nauj                          3         
ner                           3         
or                            3         
oro                           3         
ozas                          3         
p                             3         
paslaug                       3         
pavadinimas                   3         
pili                          3         
pilis                         3         
po                            3         
priklauso                     3         
profesinio                    3         
regiono                       3         
rytin                         3         
sentikiai                     3         
skveras                       3         
solutions                     3         
sovietai                      3         
sovietin                      3         
staigos                       3         
sudaro                        3         
sukurta                       3         
technologij                   3         
teka                          3         
televizijos                   3         
teritorijoje                  3         
ties                          3         
tiltai                        3         
transportas                   3         
transporto                    3         
trauktas                      3         
trij                          3         
troleibus                     3         
trys                          3         
tvenkinys                     3         
unesco                        3         
vasar                         3         
vidutin                       3         
vietos                        3         
vis                           3         
visa                          3         
viso                          3         
visoje                        3         
wilno                         3         
adomas                        2         
adomo                         2         
aikste                        2         
akademija                     2         
akademijos                    2         
ali                           2         
alia                          2         
alyta                         2         
alytus                        2         
amber                         2         
and                           2         
ant                           2         
antanas                       2         
antavili                      2         
apgyvendinimo                 2         
apskrities                    2         
apvaizdos                     2         
arba                          2         
arkangelo                     2         
armija                        2         
atsirado                      2         
atsiveria                     2         
augal                         2         
augaviet                      2         
avia                          2         
baltasis                      2         
baseinas                      2         
batoro                        2         
belmonto                      2         
bendriniu                     2         
bernardin                     2         
brockhaus                     2         
bus                           2         
centr                         2         
centre                        2         
centrin                       2         
centro                        2         
cm                            2         
dang                          2         
darbo                         2         
darbuotoj                     2         
daug                          2         
daugiausia                    2         
dirbo                         2         
du                            2         
ekonomika                     2         
emutin                        2         
europoje                      2         
evangelik                     2         
evangelikai                   2         
evangelisto                   2         
fabrikas                      2         
fone                          2         
formos                        2         
gamyklos                      2         
gatves                        2         
gimimo                        2         
gotikos                       2         
greitieji                     2         
greta                         2         
gyveno                        2         
in                            2         
inoma                         2         
ios                           2         
irdies                        2         
iurlionis                     2         
jas                           2         
jau                           2         
jis                           2         
jonas                         2         
juozapo                       2         
kalbos                        2         
kalvynas                      2         
karalius                      2         
katalik                       2         
katalikai                     2         
keletas                       2         
keliai                        2         
keramikos                     2         
kit                           2         
kitur                         2         
klimatas                      2         
kudirkos                      2         
kurie                         2         
kurioje                       2         
kursuoja                      2         
kurtos                        2         
kyla                          2         
labai                         2         
laikotarpio                   2         
laurynas                      2         
legenda                       2         
lenkai                        2         
lenkijos                      2         
liep                          2         
liepa                         2         
liepos                        2         
lietuv                        2         
lietuviai                     2         
link                          2         
lithuania                     2         
lotyn                         2         
matomi                        2         
men                           2         
metu                          2         
mimo                          2         
mindaugo                      2         
mln                           2         
mlrd                          2         
mm                            2         
mo                            2         
model                         2         
moni                          2         
muzikos                       2         
nacionalinis                  2         
nekaltojo                     2         
neryje                        2         
nors                          2         
objektai                      2         
old                           2         
padaryta                      2         
paneri                        2         
parapijos                     2         
parke                         2         
pasaulinis                    2         
pastat                        2         
pastatai                      2         
pastatyta                     2         
pats                          2         
paveiksl                      2         
pavilni                       2         
petro                         2         
pietin                        2         
pilies                        2         
pilypo                        2         
pirm                          2         
pirmieji                      2         
plyt                          2         
plyti                         2         
povilo                        2         
pramon                        2         
pus                           2         
r                             2         
rapolo                        2         
ratas                         2         
regioninis                    2         
rengimo                       2         
rinkos                        2         
rusai                         2         
santakoje                     2         
sapieg                        2         
saugomos                      2         
sausio                        2         
seniausi                      2         
senojo                        2         
sentiki                       2         
sienos                        2         
sietinas                      2         
simonas                       2         
solaris                       2         
sostine                       2         
srov                          2         
stepono                       2         
stiliumi                      2         
stotis                        2         
sudar                         2         
surinkti                      2         
susiformavusi                 2         
svarbiausi                    2         
t                             2         
tauro                         2         
teatro                        2         
technikos                     2         
teritorijos                   2         
the                           2         
tipo                          2         
to                            2         
tokio                         2         
town                          2         
troleibusai                   2         
turizmo                       2         
u                             2         
university                    2         
uostas                        2         
vadinamas                     2         
vadinti                       2         
vakar                         2         
valakampi                     2         
variantas                     2         
ved                           2         
veik                          2         
vidurio                       2         
viena                         2         
vienos                        2         
vienuolynas                   2         
vilko                         2         
vilniui                       2         
vok                           2         
vyko                          2         
vyrauja                       2         
xv                            2         
xviii                         2         
yes                           2         
----------------------------------------
Viso skirtingu zodziu : 393
